ortho,lemme
voudrions,vouloir
voudrons,vouloir
voudront,vouloir
voulaient,vouloir
voulais,vouloir
voulait,vouloir
voulant,vouloir
voulez,vouloir
vouliez,vouloir
voulions,vouloir
vouloir,vouloir
voulons,vouloir
voulu,vouloir
voulue,vouloir
voulues,vouloir
voulurent,vouloir
voulus,vouloir
voulusse,vouloir
voulussent,vouloir
voulut,vouloir
voulûmes,vouloir
voulût,vouloir
tout,tout
encore,encore
deux,deux
ces,ces
petit,petit
petite,petit
petites,petit
petits,petit
rien,rien
venaient,venir
venais,venir
venait,venir
venant,venir
venez,venir
veniez,venir
venions,venir
venir,venir
venons,venir
venu,venir
venue,venir
venues,venir
venus,venir
viendra,venir
viendrai,venir
viendraient,venir
viendrais,venir
viendrait,venir
viendras,venir
viendrez,venir
viendriez,venir
viendrions,venir
viendrons,venir
viendront,venir
vienne,venir
viennent,venir
viennes,venir
viens,venir
vient,venir
vinrent,venir
vins,venir
vinsse,venir
vinssent,venir
vint,venir
vînt,venir
quand,quand
passer,prendre
prenaient,prendre
prenais,prendre
prenait,prendre
prenant,prendre
prend,prendre
prendra,prendre
prendrai,prendre
prendraient,prendre
prendrais,prendre
prendrait,prendre
prendras,prendre
prendre,prendre
prendrez,prendre
prendriez,prendre
prendrions,prendre
prendrons,prendre
prendront,prendre
prends,prendre
prenez,prendre
preniez,prendre
prenions,prendre
prenne,prendre
prennent,prendre
prennes,prendre
prenons,prendre
prirent,prendre
pris,prendre
prise,prendre
prises,prendre
prisse,prendre
prissent,prendre
prissions,prendre
prit,prendre
prîmes,prendre
prît,prendre
les,les
homme,homme
hommes,homme
aussi,aussi
même,même
jour,jour
jours,jour
devaient,devoir
devais,devoir
devait,devoir
devant,devoir
devez,devoir
deviez,devoir
devions,devoir
devoir,devoir
devons,devoir
devra,devoir
devrai,devoir
devraient,devoir
devrais,devoir
devrait,devoir
devras,devoir
devrez,devoir
devriez,devoir
devrions,devoir
devrons,devoir
devront,devoir
dois,devoir
doit,devoir
doive,devoir
doivent,devoir
doives,devoir
due,devoir
dues,devoir
durent,devoir
dus,devoir
dusse,devoir
dussent,devoir
dusses,devoir
dussiez,devoir
dussions,devoir
dut,devoir
dû,devoir
dûmes,devoir
dût,devoir
temps,temps
fallait,falloir
falloir,falloir
fallu,falloir
fallut,falloir
fallût,falloir
faudra,falloir
faudrait,falloir
faut,falloir
grand,grand
grande,grand
grandes,grand
grands,grand
la,la
oeil,oeil
oeils,oeil
yeux,oeil
main,main
mains,main
passa,passer
passai,passer
passaient,passer
passais,passer
passait,passer
passant,passer
passas,passer
passe,passer
passent,passer
passer,passer
passera,passer
passerai,passer
passeraient,passer
passerais,passer
passerait,passer
passeras,passer
passerez,passer
passeriez,passer
passerions,passer
passerons,passer
passeront,passer
passes,passer
passez,passer
passiez,passer
passions,passer
passons,passer
passâmes,passer
passât,passer
passâtes,passer
passèrent,passer
passé,passer
passée,passer
passées,passer
passés,passer
fois,fois
non,non
jamais,jamais
très,très
toujours,toujours
là,là
parla,parler
parlai,parler
parlaient,parler
parlais,parler
parlait,parler
parlant,parler
parlas,parler
parlassent,parler
parlasses,parler
parle,parler
parlent,parler
parler,parler
parlera,parler
parlerai,parler
parleraient,parler
parlerais,parler
parlerait,parler
parleras,parler
parlerez,parler
parleriez,parler
parlerions,parler
parlerons,parler
parleront,parler
parles,parler
parlez,parler
parliez,parler
parlions,parler
parlons,parler
parlâmes,parler
parlât,parler
parlèrent,parler
parlé,parler
parlée,parler
parlées,parler
parlés,parler
met,mettre
mets,mettre
mettaient,mettre
mettais,mettre
mettait,mettre
mettant,mettre
mette,mettre
mettent,mettre
mettes,mettre
mettez,mettre
mettiez,mettre
mettions,mettre
mettons,mettre
mettra,mettre
mettrai,mettre
mettraient,mettre
mettrais,mettre
mettrait,mettre
mettras,mettre
mettre,mettre
mettrez,mettre
mettriez,mettre
mettrions,mettre
mettrons,mettre
mettront,mettre
mirent,mettre
mis,mettre
mise,mettre
mises,mettre
missent,mettre
missions,mettre
mit,mettre
mîmes,mettre
mît,mettre
chose,chose
choses,chose
alors,alors
sous,sous
peu,peu
mes,mes
regarda,regarder
regardai,regarder
regardaient,regarder
regardais,regarder
regardait,regarder
regardant,regarder
regarde,regarder
regardent,regarder
regarder,regarder
regardera,regarder
regarderai,regarder
regarderaient,regarder
regarderais,regarder
regarderait,regarder
regarderas,regarder
regarderez,regarder
regarderiez,regarder
regarderions,regarder
regarderons,regarder
regarderont,regarder
regardes,regarder
regardez,regarder
regardiez,regarder
regardions,regarder
regardons,regarder
regardâmes,regarder
regardât,regarder
regardèrent,regarder
regardé,regarder
regardée,regarder
regardées,regarder
regardés,regarder
femme,femme
femmes,femme
demanda,demander
demandai,demander
demandaient,demander
demandais,demander
demandait,demander
demandant,demander
demande,demander
demandent,demander
demander,demander
demandera,demander
demanderai,demander
demanderaient,demander
demanderais,demander
demanderait,demander
demanderas,demander
demanderez,demander
demanderiez,demander
demanderons,demander
demanderont,demander
demandes,demander
demandez,demander
demandiez,demander
demandions,demander
demandons,demander
demandâmes,demander
demandât,demander
demandèrent,demander
demandé,demander
demandée,demander
demandées,demander
demandés,demander
trouva,trouver
trouvai,trouver
trouvaient,trouver
trouvais,trouver
trouvait,trouver
trouvant,trouver
trouvas,trouver
trouvasse,trouver
trouvassent,trouver
trouve,trouver
trouvent,trouver
trouver,trouver
trouvera,trouver
trouverai,trouver
trouveraient,trouver
trouverais,trouver
trouverait,trouver
trouveras,trouver
trouverez,trouver
trouveriez,trouver
trouverions,trouver
trouverons,trouver
trouveront,trouver
trouves,trouver
trouvez,trouver
trouviez,trouver
trouvions,trouver
trouvons,trouver
trouvâmes,trouver
trouvât,trouver
trouvèrent,trouver
trouvé,trouver
trouvée,trouver
trouvées,trouver
trouvés,trouver
dont,dont
dont,dont
vers,vers
suis,suivre
suit,suivre
suivaient,suivre
suivais,suivre
suivait,suivre
suivant,suivre
suive,suivre
suivent,suivre
suives,suivre
suivez,suivre
suivi,suivre
suivie,suivre
suivies,suivre
suiviez,suivre
suivions,suivre
suivirent,suivre
suivis,suivre
suivissent,suivre
suivit,suivre
suivons,suivre
suivra,suivre
suivrai,suivre
suivraient,suivre
suivrais,suivre
suivrait,suivre
suivras,suivre
suivre,suivre
suivrez,suivre
suivriez,suivre
suivrions,suivre
suivrons,suivre
suivront,suivre
suivîmes,suivre
suivît,suivre
croie,croire
croient,croire
croies,croire
croira,croire
croirai,croire
croiraient,croire
croirais,croire
croirait,croire
croiras,croire
croire,croire
croirez,croire
croiriez,croire
croirions,croire
croirons,croire
croiront,croire
crois,croire
croit,croire
croyaient,croire
croyais,croire
croyait,croire
croyant,croire
croyez,croire
croyiez,croire
croyions,croire
croyons,croire
cru,croire
crue,croire
crues,croire
crurent,croire
crus,croire
crusse,croire
crussent,croire
crusses,croire
crut,croire
crûmes,croire
crût,croire
si,si
si,si
heure,heure
heures,heure
tête,tête
têtes,tête
seul,seul
seule,seul
seules,seul
seuls,seul
donna,donner
donnai,donner
donnaient,donner
donnais,donner
donnait,donner
donnant,donner
donnas,donner
donnassent,donner
donne,donner
donnent,donner
donner,donner
donnera,donner
donnerai,donner
donneraient,donner
donnerais,donner
donnerait,donner
donneras,donner
donnerez,donner
donneriez,donner
donnerions,donner
donnerons,donner
donneront,donner
donnes,donner
donnez,donner
donniez,donner
donnions,donner
donnons,donner
donnâmes,donner
donnât,donner
donnèrent,donner
donné,donner
donnée,donner
données,donner
donnés,donner
leurs,leurs
autre,autre
autres,autre
pensa,penser
pensai,penser
pensaient,penser
pensais,penser
pensait,penser
pensant,penser
pense,penser
pensent,penser
penser,penser
pensera,penser
penserai,penser
penseraient,penser
penserais,penser
penserait,penser
penseras,penser
penserez,penser
penseriez,penser
penserions,penser
penserons,penser
penseront,penser
penses,penser
pensez,penser
pensiez,penser
pensions,penser
pensons,penser
pensâmes,penser
pensât,penser
pensèrent,penser
pensé,penser
pensée,penser
pensées,penser
pensés,penser
vie,vie
vies,vie
laissa,laisser
laissai,laisser
laissaient,laisser
laissais,laisser
laissait,laisser
laissant,laisser
laissassent,laisser
laisse,laisser
laissent,laisser
laisser,laisser
laissera,laisser
laisserai,laisser
laisseraient,laisser
laisserais,laisser
laisserait,laisser
laisseras,laisser
laisserez,laisser
laisseriez,laisser
laisserions,laisser
laisserons,laisser
laisseront,laisser
laisses,laisser
laissez,laisser
laissiez,laisser
laissions,laisser
laissons,laisser
laissâmes,laisser
laissât,laisser
laissèrent,laisser
laissé,laisser
laissée,laisser
laissées,laisser
laissés,laisser
tout,tout
coup,coup
coups,coup
puis,puis
entre,entre
après,après
même,même
mêmes,même
aima,aimer
aimai,aimer
aimaient,aimer
aimais,aimer
aimait,aimer
aimant,aimer
aimasse,aimer
aimassent,aimer
aimassions,aimer
aime,aimer
aiment,aimer
aimer,aimer
aimera,aimer
aimerai,aimer
aimeraient,aimer
aimerais,aimer
aimerait,aimer
aimeras,aimer
aimerez,aimer
aimeriez,aimer
aimerions,aimer
aimerons,aimer
aimeront,aimer
aimes,aimer
aimez,aimer
aimiez,aimer
aimions,aimer
aimons,aimer
aimâmes,aimer
aimât,aimer
aimâtes,aimer
aimèrent,aimer
aimé,aimer
aimée,aimer
aimées,aimer
aimés,aimer
regretter,rester
resta,rester
restai,rester
restaient,rester
restais,rester
restait,rester
restant,rester
restassent,rester
reste,rester
restent,rester
rester,rester
restera,rester
resterai,rester
resteraient,rester
resterais,rester
resterait,rester
resteras,rester
resterez,rester
resteriez,rester
resterions,rester
resterons,rester
resteront,rester
restes,rester
restez,rester
restiez,rester
restions,rester
restons,rester
restâmes,rester
restât,rester
restèrent,rester
resté,rester
restée,rester
restées,rester
restés,rester
trop,trop
bon,bon
bonne,bon
bonnes,bon
bons,bon
t',t'
te,te
mère,mère
mères,mère
cela,cela
monde,monde
mondes,monde
tenaient,tenir
tenais,tenir
tenait,tenir
tenant,tenir
tenez,tenir
teniez,tenir
tenions,tenir
tenir,tenir
tenons,tenir
tenu,tenir
tenue,tenir
tenues,tenir
tenus,tenir
tiendra,tenir
tiendrai,tenir
tiendraient,tenir
tiendrais,tenir
tiendrait,tenir
tiendras,tenir
tiendrez,tenir
tiendriez,tenir
tiendrons,tenir
tiendront,tenir
tienne,tenir
tiennent,tenir
tiennes,tenir
tiens,tenir
tient,tenir
tinrent,tenir
tins,tenir
tinssent,tenir
tint,tenir
tînmes,tenir
tînt,tenir
nuit,nuit
nuits,nuit
quelques,quelques
enfant,enfant
enfants,enfant
père,père
pères,père
arriva,arriver
arrivai,arriver
arrivaient,arriver
arrivais,arriver
arrivait,arriver
arrivant,arriver
arrivas,arriver
arrivassent,arriver
arrive,arriver
arrivent,arriver
arriver,arriver
arrivera,arriver
arriverai,arriver
arriveraient,arriver
arriverais,arriver
arriverait,arriver
arriveras,arriver
arriverez,arriver
arriveriez,arriver
arriverions,arriver
arriverons,arriver
arriveront,arriver
arrives,arriver
arrivez,arriver
arriviez,arriver
arrivions,arriver
arrivons,arriver
arrivâmes,arriver
arrivât,arriver
arrivâtes,arriver
arrivèrent,arriver
arrivé,arriver
arrivée,arriver
arrivées,arriver
arrivés,arriver
entend,entendre
entendaient,entendre
entendais,entendre
entendait,entendre
entendant,entendre
entende,entendre
entendent,entendre
entendes,entendre
entendez,entendre
entendiez,entendre
entendions,entendre
entendirent,entendre
entendis,entendre
entendisse,entendre
entendissent,entendre
entendit,entendre
entendons,entendre
entendra,entendre
entendrai,entendre
entendraient,entendre
entendrais,entendre
entendrait,entendre
entendras,entendre
entendre,entendre
entendrez,entendre
entendriez,entendre
entendrions,entendre
entendrons,entendre
entendront,entendre
entends,entendre
entendu,entendre
entendue,entendre
entendues,entendre
entendus,entendre
entendîmes,entendre
entendît,entendre
sens,sentir
sent,sentir
sentaient,sentir
sentais,sentir
sentait,sentir
sentant,sentir
sente,sentir
sentent,sentir
sentes,sentir
sentez,sentir
senti,sentir
sentie,sentir
senties,sentir
sentiez,sentir
sentions,sentir
sentir,sentir
sentira,sentir
sentirai,sentir
sentiraient,sentir
sentirais,sentir
sentirait,sentir
sentiras,sentir
sentirent,sentir
sentirez,sentir
sentiriez,sentir
sentirons,sentir
sentiront,sentir
sentis,sentir
sentisse,sentir
sentissent,sentir
sentit,sentir
sentons,sentir
sentîmes,sentir
sentît,sentir
moins,moins
attend,attendre
attendaient,attendre
attendais,attendre
attendait,attendre
attendant,attendre
attende,attendre
attendent,attendre
attendes,attendre
attendez,attendre
attendiez,attendre
attendions,attendre
attendirent,attendre
attendis,attendre
attendisse,attendre
attendissent,attendre
attendit,attendre
attendons,attendre
attendra,attendre
attendrai,attendre
attendraient,attendre
attendrais,attendre
attendrait,attendre
attendras,attendre
attendre,attendre
attendrez,attendre
attendriez,attendre
attendrions,attendre
attendrons,attendre
attendront,attendre
attends,attendre
attendu,attendre
attendue,attendre
attendues,attendre
attendus,attendre
attendîmes,attendre
attendît,attendre
déjà,déjà
peut-être,peut-être
air,air
airs,air
devant,devant
moment,moment
moments,moment
an,an
ans,an
notre,notre
chez,chez
premier,premier
premiers,premier
première,premier
premières,premier
ni,ni
autre,autre
trois,trois
oui,oui
connais,connaître
connaissaient,connaître
connaissais,connaître
connaissait,connaître
connaissant,connaître
connaisse,connaître
connaissent,connaître
connaisses,connaître
connaissez,connaître
connaissiez,connaître
connaissions,connaître
connaissons,connaître
connaît,connaître
connaîtra,connaître
connaîtrai,connaître
connaîtraient,connaître
connaîtrais,connaître
connaîtrait,connaître
connaîtras,connaître
connaître,connaître
connaîtrez,connaître
connaîtriez,connaître
connaîtrions,connaître
connaîtrons,connaître
connaîtront,connaître
connu,connaître
connue,connaître
connues,connaître
connurent,connaître
connus,connaître
connusse,connaître
connussent,connaître
connusses,connaître
connut,connaître
connûmes,connaître
connût,connaître
sors,sortir
sort,sortir
sortaient,sortir
sortais,sortir
sortait,sortir
sortant,sortir
sorte,sortir
sortent,sortir
sortes,sortir
sortez,sortir
sorti,sortir
sortie,sortir
sorties,sortir
sortiez,sortir
sortions,sortir
sortir,sortir
sortira,sortir
sortirai,sortir
sortiraient,sortir
sortirais,sortir
sortirait,sortir
sortiras,sortir
sortirent,sortir
sortirez,sortir
sortiriez,sortir
sortirions,sortir
sortirons,sortir
sortiront,sortir
sortis,sortir
sortit,sortir
sortons,sortir
sortîmes,sortir
sortît,sortir
beau,beau
beaux,beau
belle,beau
belles,beau
porte,porte
portes,porte
comprenaient,comprendre
comprenais,comprendre
comprenait,comprendre
comprenant,comprendre
comprend,comprendre
comprendra,comprendre
comprendrai,comprendre
comprendraient,comprendre
comprendrais,comprendre
comprendrait,comprendre
comprendras,comprendre
comprendre,comprendre
comprendrez,comprendre
comprendriez,comprendre
comprendrions,comprendre
comprendrons,comprendre
comprendront,comprendre
comprends,comprendre
comprenez,comprendre
compreniez,comprendre
comprenions,comprendre
comprenne,comprendre
comprennent,comprendre
comprennes,comprendre
comprenons,comprendre
comprirent,comprendre
compris,comprendre
comprise,comprendre
comprises,comprendre
comprisse,comprendre
comprit,comprendre
comprîmes,comprendre
comprît,comprendre
voix,voix
elles,elles
fille,fille
filles,fille
contre,contre
nos,nos
maison,maison
maisons,maison
avant,avant
sembla,sembler
semblaient,sembler
semblais,sembler
semblait,sembler
semblant,sembler
semble,sembler
semblent,sembler
sembler,sembler
semblera,sembler
sembleraient,sembler
semblerait,sembler
sembleront,sembler
sembles,sembler
semblez,sembler
sembliez,sembler
semblions,sembler
semblons,sembler
semblât,sembler
semblèrent,sembler
semblé,sembler
jeune,jeune
jeunes,jeune
côté,côté
côtés,côté
visage,visage
visages,visage
peu,peu
rue,rue
rues,rue
soir,soir
soirs,soir
quelque,quelque
mot,mot
mots,mot
depuis,depuis
s',s'
devenaient,devenir
devenais,devenir
devenait,devenir
devenant,devenir
devenez,devenir
deveniez,devenir
devenions,devenir
devenir,devenir
devenons,devenir
devenu,devenir
devenue,devenir
devenues,devenir
devenus,devenir
deviendra,devenir
deviendrai,devenir
deviendraient,devenir
deviendrais,devenir
deviendrait,devenir
deviendras,devenir
deviendrez,devenir
deviendriez,devenir
deviendrions,devenir
deviendrons,devenir
deviendront,devenir
devienne,devenir
deviennent,devenir
deviennes,devenir
deviens,devenir
devient,devenir
devinrent,devenir
devins,devenir
devinsse,devenir
devinssent,devenir
devinssiez,devenir
devint,devenir
devînmes,devenir
devînt,devenir
vieille,vieux
vieilles,vieux
vieux,vieux
eux,eux
cet,cet
maintenant,maintenant
ouvert,ouvrir
ouverte,ouvrir
ouvertes,ouvrir
ouverts,ouvrir
ouvraient,ouvrir
ouvrais,ouvrir
ouvrait,ouvrir
ouvrant,ouvrir
ouvre,ouvrir
ouvrent,ouvrir
ouvres,ouvrir
ouvrez,ouvrir
ouvriez,ouvrir
ouvrions,ouvrir
ouvrir,ouvrir
ouvrira,ouvrir
ouvrirai,ouvrir
ouvriraient,ouvrir
ouvrirais,ouvrir
ouvrirait,ouvrir
ouvriras,ouvrir
ouvrirent,ouvrir
ouvrirez,ouvrir
ouvririez,ouvrir
ouvririons,ouvrir
ouvrirons,ouvrir
ouvriront,ouvrir
ouvris,ouvrir
ouvrissent,ouvrir
ouvrit,ouvrir
ouvrons,ouvrir
ouvrîmes,ouvrir
ouvrît,ouvrir
revenaient,revenir
revenais,revenir
revenait,revenir
revenant,revenir
revenez,revenir
reveniez,revenir
revenions,revenir
revenir,revenir
revenons,revenir
revenu,revenir
revenue,revenir
revenues,revenir
revenus,revenir
reviendra,revenir
reviendrai,revenir
reviendraient,revenir
reviendrais,revenir
reviendrait,revenir
reviendras,revenir
reviendrez,revenir
reviendriez,revenir
reviendrions,revenir
reviendrons,revenir
reviendront,revenir
revienne,revenir
reviennent,revenir
reviennes,revenir
reviens,revenir
revient,revenir
revinrent,revenir
revins,revenir
revinssent,revenir
revint,revenir
revînt,revenir
bras,bras
pied,pied
pieds,pied
chaque,chaque
pars,partir
part,partir
partaient,partir
partais,partir
partait,partir
partant,partir
parte,partir
partent,partir
partes,partir
partez,partir
parti,partir
partie,partir
parties,partir
partiez,partir
partions,partir
partir,partir
partira,partir
partirai,partir
partiraient,partir
partirais,partir
partirait,partir
partiras,partir
partirent,partir
partirez,partir
partiriez,partir
partirions,partir
partirons,partir
partiront,partir
partis,partir
partisse,partir
partissent,partir
partit,partir
partons,partir
partîmes,partir
partît,partir
ici,ici
noir,noir
noire,noir
noires,noir
noirs,noir
corps,corps
porta,porter
portai,porter
portaient,porter
portais,porter
portait,porter
portant,porter
portassent,porter
porte,porter
portent,porter
porter,porter
portera,porter
porterai,porter
porteraient,porter
porterais,porter
porterait,porter
porteras,porter
porterez,porter
porteriez,porter
porterons,porter
porteront,porter
portes,porter
portez,porter
portiez,porter
portions,porter
portons,porter
portâmes,porter
portât,porter
portèrent,porter
porté,porter
portée,porter
portées,porter
portés,porter
ainsi,ainsi
car,car
place,place
places,place
rend,rendre
rendaient,rendre
rendais,rendre
rendait,rendre
rendant,rendre
rende,rendre
rendent,rendre
rendes,rendre
rendez,rendre
rendiez,rendre
rendions,rendre
rendirent,rendre
rendis,rendre
rendisse,rendre
rendissent,rendre
rendit,rendre
rendons,rendre
rendra,rendre
rendrai,rendre
rendraient,rendre
rendrais,rendre
rendrait,rendre
rendras,rendre
rendre,rendre
rendrez,rendre
rendriez,rendre
rendrons,rendre
rendront,rendre
rends,rendre
rendu,rendre
rendue,rendre
rendues,rendre
rendus,rendre
rendîmes,rendre
rendît,rendre
répond,répondre
répondaient,répondre
répondais,répondre
répondait,répondre
répondant,répondre
réponde,répondre
répondent,répondre
répondes,répondre
répondez,répondre
répondiez,répondre
répondions,répondre
répondirent,répondre
répondis,répondre
répondit,répondre
répondons,répondre
répondra,répondre
répondrai,répondre
répondraient,répondre
répondrais,répondre
répondrait,répondre
répondras,répondre
répondre,répondre
répondrez,répondre
répondriez,répondre
répondrons,répondre
répondront,répondre
réponds,répondre
répondu,répondre
répondues,répondre
répondîmes,répondre
répondît,répondre
presque,presque
appela,appeler
appelai,appeler
appelaient,appeler
appelais,appeler
appelait,appeler
appelant,appeler
appeler,appeler
appelez,appeler
appeliez,appeler
appelions,appeler
appelle,appeler
appellent,appeler
appellera,appeler
appellerai,appeler
appelleraient,appeler
appellerais,appeler
appellerait,appeler
appelleras,appeler
appellerez,appeler
appelleriez,appeler
appellerions,appeler
appellerons,appeler
appelleront,appeler
appelles,appeler
appelons,appeler
appelât,appeler
appelèrent,appeler
appelé,appeler
appelée,appeler
appelées,appeler
appelés,appeler
arrêta,arrêter
arrêtai,arrêter
arrêtaient,arrêter
arrêtais,arrêter
arrêtait,arrêter
arrêtant,arrêter
arrêtassent,arrêter
arrête,arrêter
arrêtent,arrêter
arrêter,arrêter
arrêtera,arrêter
arrêterai,arrêter
arrêteraient,arrêter
arrêterais,arrêter
arrêterait,arrêter
arrêteras,arrêter
arrêterez,arrêter
arrêteriez,arrêter
arrêterions,arrêter
arrêterons,arrêter
arrêteront,arrêter
arrêtes,arrêter
arrêtez,arrêter
arrêtiez,arrêter
arrêtions,arrêter
arrêtons,arrêter
arrêtâmes,arrêter
arrêtât,arrêter
arrêtèrent,arrêter
arrêté,arrêter
arrêtée,arrêter
arrêtées,arrêter
arrêtés,arrêter
